workerid,button_order,code,condition,first_talker,order,repVoice,repeated,rt,talker,correct,lag,case,d_repVoice,rc_order,rc_lag,duration,rc_dur
7251,OLD_NEW,BEL_1719_GARDEN,Divided,NONE,1,NONE,FALSE,278,PM01,1,NA,correct_rejection,-0.076031623,-0.500159514,NA,1.8086875,0.003263884
7251,OLD_NEW,BEL_1723_BROKEN,Divided,PF02,2,SAME,TRUE,476,PF02,0,8,miss,0.071955487,-0.484286498,-0.427875294,2.051458333,0.153761107
7251,OLD_NEW,BEL_0419_SONGS,Divided,NONE,3,NONE,FALSE,2623,PF02,0,NA,false_alarm,-0.076031623,-0.468413482,NA,2.445020833,0.39773631
7251,OLD_NEW,BEL_0111_ALIVE,Divided,NONE,4,NONE,FALSE,815,PF01,1,NA,correct_rejection,-0.076031623,-0.452540467,NA,1.919875,0.072190656
7251,OLD_NEW,BEL_1524_TODAY,Divided,NONE,5,NONE,FALSE,348,PM02,0,NA,false_alarm,-0.076031623,-0.436667451,NA,1.329791667,-0.293610713
7251,OLD_NEW,BEL_1009_EXAM,Divided,PF01,6,DIFF,TRUE,286,PM02,1,37,hit,0.552872595,-0.420794435,-0.119364656,1.746645833,-0.035196662
7251,OLD_NEW,BEL_1507_HELP,Divided,NONE,7,NONE,FALSE,471,PM02,0,NA,false_alarm,-0.076031623,-0.404921419,NA,1.4300625,-0.231451343
7251,OLD_NEW,BEL_1222_YEAR,Divided,NONE,8,NONE,FALSE,474,PF01,0,NA,false_alarm,-0.076031623,-0.389048403,NA,1.964104167,0.099608969
7251,OLD_NEW,BEL_0220_CRUEL,Divided,NONE,9,NONE,FALSE,576,PM01,1,NA,correct_rejection,-0.076031623,-0.373175387,NA,2.584895833,0.484446888
7251,OLD_NEW,BEL_0613_FLOOR,Divided,PF01,10,SAME,TRUE,316,PF01,1,12,hit,0.071955487,-0.357302371,-0.385322103,1.5979375,-0.127383153
7251,OLD_NEW,BEL_1509_LUNCH,Divided,NONE,11,NONE,FALSE,49,PF02,0,NA,false_alarm,-0.076031623,-0.341429355,NA,2.1610625,0.221706348
7251,OLD_NEW,BEL_0322_MORNING,Divided,PF02,12,DIFF,TRUE,520,PM01,0,26,miss,0.552872595,-0.32555634,-0.236385933,1.684458333,-0.073747611
7251,OLD_NEW,BEL_1616_BANANAS,Divided,NONE,13,NONE,FALSE,257,PF02,0,NA,false_alarm,-0.076031623,-0.309683324,NA,1.906208333,0.063718488
7251,OLD_NEW,BEL_0114_SALT,Divided,PF01,14,DIFF,TRUE,582,PF02,0,37,miss,0.552872595,-0.293810308,-0.119364656,1.584916667,-0.135454959
7251,OLD_NEW,BEL_0120_TOYS,Divided,NONE,15,NONE,FALSE,1554,PM01,1,NA,correct_rejection,-0.076031623,-0.277937292,NA,1.904083333,0.062401169
7251,OLD_NEW,BEL_1523_PAN,Divided,NONE,16,NONE,FALSE,285,PF01,0,NA,false_alarm,-0.076031623,-0.262064276,NA,1.888895833,0.052986213
7251,OLD_NEW,BEL_0402_DAUGHTER,Divided,NONE,17,NONE,FALSE,1498,PM02,1,NA,correct_rejection,-0.076031623,-0.24619126,NA,1.546479167,-0.159282933
7251,OLD_NEW,BEL_1304_PROJECT,Divided,NONE,18,NONE,FALSE,157,PM01,0,NA,false_alarm,-0.076031623,-0.230318244,NA,1.980083333,0.109514691
7251,OLD_NEW,BEL_0811_CLOSE,Divided,PM02,19,SAME,TRUE,307,PM02,1,47,hit,0.071955487,-0.214445228,-0.012981677,1.594020833,-0.129811152
7251,OLD_NEW,BEL_0904_WELL,Divided,NONE,20,NONE,FALSE,894,PF02,1,NA,correct_rejection,-0.076031623,-0.198572213,NA,1.7689375,-0.021377728
7251,OLD_NEW,BEL_1210_AIR,Divided,PF02,21,SAME,TRUE,143,PF02,1,31,hit,0.071955487,-0.182699197,-0.183194443,1.900875,0.060412276
7251,OLD_NEW,BEL_0812_CARS,Divided,NONE,22,NONE,FALSE,262,PF01,1,NA,correct_rejection,-0.076031623,-0.166826181,NA,1.731395833,-0.044650362
7251,OLD_NEW,BEL_1212_UPSET,Divided,PM02,23,DIFF,TRUE,364,PF01,1,38,hit,0.552872595,-0.150953165,-0.108726358,1.7240625,-0.049196403
7251,OLD_NEW,BEL_0103_AMAZING,Divided,NONE,24,NONE,FALSE,594,PM02,0,NA,false_alarm,-0.076031623,-0.135080149,NA,1.506541667,-0.184040779
7251,OLD_NEW,BEL_1806_MEAT,Divided,NONE,25,NONE,FALSE,439,PM02,1,NA,correct_rejection,-0.076031623,-0.119207133,NA,1.573145833,-0.142751873
7251,OLD_NEW,BEL_1211_ANGRY,Divided,NONE,26,NONE,FALSE,407,PM01,1,NA,correct_rejection,-0.076031623,-0.103334117,NA,2.353729167,0.341143258
7251,OLD_NEW,BEL_0214_STREET,Divided,PM01,27,DIFF,TRUE,1208,PM02,1,36,hit,0.552872595,-0.087461101,-0.130002954,1.211291667,-0.367070612
7251,OLD_NEW,BEL_0420_GRASS,Divided,PM02,28,DIFF,TRUE,620,PM01,1,55,hit,0.552872595,-0.071588086,0.072124706,1.53375,-0.167173931
7251,OLD_NEW,BEL_1715_MUSIC,Divided,PM02,29,SAME,TRUE,137,PM02,0,34,miss,0.071955487,-0.05571507,-0.15127955,1.45625,-0.215217325
7251,OLD_NEW,BEL_0115_HOME,Divided,PF01,30,SAME,TRUE,729,PF01,1,43,hit,0.071955487,-0.039842054,-0.055534869,1.340708333,-0.28684331
7251,OLD_NEW,BEL_1204_PATIENT,Divided,PF02,31,DIFF,TRUE,491,PF01,1,34,hit,0.552872595,-0.023969038,-0.15127955,1.637083333,-0.103116073
7251,OLD_NEW,BEL_0620_FIELD,Divided,NONE,32,NONE,FALSE,233,PF01,1,NA,correct_rejection,-0.076031623,-0.008096022,NA,1.810979167,0.004684522
7251,OLD_NEW,BEL_1313_HOURS,Divided,NONE,33,NONE,FALSE,469,PF02,1,NA,correct_rejection,-0.076031623,0.007776994,NA,2.032416667,0.141956897
7251,OLD_NEW,BEL_1108_ROOM,Divided,PF02,34,DIFF,TRUE,357,PM02,1,51,hit,0.552872595,0.02365001,0.029571514,1.5945625,-0.129475365
7251,OLD_NEW,BEL_0908_TRIP,Divided,PM01,35,SAME,TRUE,599,PM01,0,55,miss,0.071955487,0.039523026,0.072124706,1.653791667,-0.09275833
7251,OLD_NEW,BEL_0317_WINDOW,Divided,PF01,36,SAME,TRUE,257,PF01,1,62,hit,0.071955487,0.055396041,0.146592791,1.94225,0.086061249
7251,OLD_NEW,BEL_0911_SCIENCE,Divided,NONE,37,NONE,FALSE,211,PF01,0,NA,false_alarm,-0.076031623,0.071269057,NA,1.912541667,0.067644614
7251,OLD_NEW,BEL_0124_WEEKEND,Divided,NONE,38,NONE,FALSE,111,PM01,1,NA,correct_rejection,-0.076031623,0.087142073,NA,1.77725,-0.016224687
7251,OLD_NEW,BEL_0104_DANGEROUS,Divided,PF02,39,SAME,TRUE,1044,PF02,1,60,hit,0.071955487,0.103015089,0.125316195,2.195041667,0.242770535
7251,OLD_NEW,BEL_0719_ROOM,Divided,PM01,40,DIFF,TRUE,662,PF02,1,58,hit,0.552872595,0.118888105,0.104039599,1.7870625,-0.010141773
7251,OLD_NEW,BEL_1105_HOMEWORK,Divided,NONE,41,NONE,FALSE,350,PM02,0,NA,false_alarm,-0.076031623,0.134761121,NA,1.533770833,-0.167161016
