idx,file1,file2,distance
0,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T02,11.70051898
1,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T03,11.99318559
2,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T04,13.34548544
3,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T05,11.76987784
4,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T06,11.97428719
5,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T07,13.31263849
6,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T08,11.81098883
7,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T09,13.11473032
8,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T10,14.8406821
9,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T11,13.48378096
10,BEL_0103_AMAZING_T01,BEL_0103_AMAZING_T12,11.59867966
11,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T03,12.20915873
12,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T04,12.52161552
13,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T05,12.33996659
14,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T06,10.85093086
15,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T07,12.15979592
16,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T08,11.9009495
17,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T09,12.63051135
18,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T10,14.23625948
19,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T11,12.52323841
20,BEL_0103_AMAZING_T02,BEL_0103_AMAZING_T12,11.68055435
21,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T04,13.89058476
22,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T05,13.04028095
23,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T06,12.39519084
24,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T07,14.41443695
25,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T08,12.39670515
26,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T09,10.65395254
27,BEL_0103_AMAZING_T03,BEL_0103_AMAZING_T10,13.06807448
